코드,자격증명
2081800,정보기기기사
2081900,전산응용선반기능사
2082000,전산응용밀링기능사
2082100,지형정보기능사
2082200,전기기술사
2082300,전산응용제도기능사
2082400,정보처리산업기술기사
2082500,제과제빵기능사
2082600,측지및지형공간정보기사
2082700,컴퓨터응용기사
2082800,컴퓨터그래픽기사
2082900,컴퓨터그래픽스기능사
2083000,컴퓨터산업기사
2083100,컴퓨터운용기능사
2083200,통신기기운용기능사
2083300,토목기능사
2083400,토목안전기사
2083500,CNN선반밀링기능사
2083600,사진기사
2083700,설비기사
2083800,승강기
2083900,CNC선반정비
2084000,식품관리기사
2084100,소방설비산업기사(전기분야)
2084200,위험물산업기사
2084300,인간공학기술사
2084400,와전류기사
2084500,안전관리산업기사
2084600,정보통신기기
2084800,전자계산기조직운용기사
2084900,전산기계제도기능사
2085000,지질기사
2085100,전산회계운용기능사
2085200,전산응용설계기능사
2085300,전기전자통신
2085400,전자설비기능사
2085500,전기소방설비기사
2085600,전산회계
2085700,전자회계
2085800,전자계산기구조
2086000,정보기기산업기사
2086100,전산응용제도
2086200,전기산업기술사
2086300,폐기물기사
2086400,폐기물산업기사
2086500,프레스금형
2086700,포크레인
2086800,비뇨기과전문의
2086900,보일러기사
2087000,측량산업기사
2087100,칙염기능사
2087200,컴퓨터통신운용기능사
2087300,냉난방기능사
2087400,노업기계기능사
2087500,열관리처리기능사
2087600,위험물취급기능사
2087700,위험물처리기사
2087800,아마추어무선통신(HAM)
2087900,밀링
2088000,비파괴검사
2088100,보선산업기사
2088200,건축토목기능사
2088300,고압가스냉동기계
2088400,교원정보활용기능장
2088500,건설재료기사
2088600,건설기계기능사
2088700,화공처리기능사
2088800,품질기능사
2088900,평판제판
2089000,플라스틱사출성형기능사보
2089100,폐기물처리
2089200,PM사업관리기술사
2089300,PMI기술사
2089400,콘크리트기사
2089500,컴퓨터속기사
2089600,정보기기응용기능사
2089700,제품응용모델링기사
2089800,전산캐드운용기능사
2089900,전산응용도면기사
2090000,전산응용기능사
2090100,전산응용기계기능사
2090200,정보기기처리기능사
2090300,정보기기운용산업기사
2090400,전기기기기사
2090500,전산응용기계설계기능사
2090600,전기철도산업기사
2090700,전자기기기사
2090800,직기기능사
2090900,정보기기운용기사
2091000,전자기기산업기사
2091100,전자현미경기능사
2091200,CNC밀링
2091300,선반기계제도기능사
2091400,실크스크린기능사
2091500,소방설비산업기사(기계분야)
