전공,졸업당시나이,알바 여부,월 소득,직장_만족도,직장_전공일치정도,직장_요구자격증여부,합격경험,복수전공여부,복수전공명,부전공여부,부전공명,군복무경험,휴학학기수,졸업유예경험,대학원경험,재학중재직경험,어학연수경험,토익점수,취업목표유무,자격증여부,자격증_1,자격증_2,자격증_3,구직활동경험,공모전수상,대외활동,면접훈련,중요도_근로소득,중요도_흥미,중요도_전공관련성,중요도_개인발전가능성,중요도_직업자체전망,중요도_직장안정성,중요도_근무환경,중요도_복리후생,중요도_회사규모,중요도_출퇴근거리,중요도_사회적평판,하루평균수면시간,흡연여부,음주선호도,삶의 만족도,부모님자산규모,학교소재,졸업 평점 유형,졸업 평점,현재 건강상태
금융/회계/세무,23,2,195,5,3,2,,2,,2,,1,,2,2,2,2,,1,2,,,,2,,,,5,5,5,5,5,5,5,5,5,5,5,7,2,4,7,1,4,3,2.8,5
금융/회계/세무,25,2,175,5,3,2,,2,,2,,2,4,2,2,1,2,,1,1,3006100,3006404,2114500,1,2,2,2,4,3,3,4,4,4,4,4,3,4,4,6,1,4,4,3,4,3,4.4,4
금융/회계/세무,22,2,165,3,4,2,,2,,2,,1,,2,2,1,2,,2,1,2114500,4111804,,2,,,,4,3,3,4,3,4,4,4,3,4,4,8,2,2,5,1,4,3,4,4
무역/유통,24,2,220,4,3,2,,2,,2,,2,4,2,2,2,2,,1,2,,,,2,,,,5,3,3,3,3,3,3,3,3,3,3,5,1,4,6,1,2,1,2.5,5
무역/유통,55,2,400,3,1,2,,2,,2,,1,,2,2,2,2,,2,2,,,,2,,,,4,5,4,4,4,4,4,5,4,5,4,8,2,4,6,1,3,3,2.6,4
법,27,,,,,,,2,,2,,2,6,2,2,1,2,,2,2,,,,2,,,,5,5,3,3,3,4,3,4,3,3,3,6,2,3,5,1,1,3,3.5,5
법,27,,,,,,0,2,,2,,2,,2,2,1,2,,1,1,1014300,,,2,,,,5,4,3,4,4,5,4,3,3,5,3,7,2,1,7,1,1,1,3,5
법,25,2,200,5,4,1,,2,,2,,2,6,2,2,1,2,,2,2,,,,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,2,4,7,1,1,3,3.7,5
법,59,2,100,3,1,2,,2,,2,,1,,2,2,2,2,,2,1,3005200,,,2,,,,5,3,4,3,4,3,4,3,4,3,4,7,2,1,4,1,1,3,4.3,4
법,22,2,160,4,4,2,,2,,2,,1,,2,2,2,2,,2,2,,,,2,,,,3,4,4,3,4,5,5,5,4,3,4,7,2,4,5,1,2,3,3.6,4
가족/사회/복지,22,2,200,3,4,1,,2,,2,,1,,2,2,2,2,,1,1,1010300,1010901,,1,2,2,1,5,5,4,4,4,5,4,5,4,5,4,5,2,2,2,1,1,3,3.5,4
가족/사회/복지,21,1,160,3,4,1,,2,,2,,1,,2,2,1,2,,2,1,1010901,,,1,1,2,1,4,4,4,5,5,5,5,5,4,5,5,6,2,2,6,3,1,1,3.2,4
가족/사회/복지,48,2,190,3,4,1,,2,,2,,1,,2,2,2,2,,2,1,1010300,1010901,,2,,,,5,5,3,4,3,5,5,4,2,2,4,6,2,1,5,1,2,3,4,2
가족/사회/복지,24,2,191,5,5,1,,2,,2,,2,4,2,2,2,2,,2,1,1010901,,,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,7,2,4,6,1,2,3,3.5,4
가족/사회/복지,61,,,,,,2,2,,2,,1,,2,2,2,2,,2,2,,,,2,,,,4,4,4,4,4,4,4,4,4,4,4,6,2,1,6,3,2,3,4,4
가족/사회/복지,54,2,139,1,1,2,,2,,2,,1,,2,2,2,2,,2,1,1014800,4152200,4171301,2,,,,5,4,4,4,5,5,5,5,3,4,4,5,2,1,4,1,2,3,3.9,5
가족/사회/복지,23,2,170,5,3,2,,2,,2,,1,,2,2,2,2,,1,2,,,,1,2,1,1,4,4,2,5,5,5,5,4,2,4,4,6,1,2,7,1,2,3,3.8,4
가족/사회/복지,22,1,85,4,3,2,,2,,2,,1,,2,2,2,2,,2,2,,,,2,,,,5,4,3,5,5,5,5,5,4,4,4,7,2,2,5,1,2,3,3.7,3
가족/사회/복지,55,2,160,3,3,1,,2,,2,,1,,2,1,1,2,,2,1,1012700,1010901,,2,,,,4,4,4,5,5,5,5,5,5,5,5,5,2,1,5,3,2,3,4.3,4
가족/사회/복지,23,,,,,,0,2,,2,,1,,2,1,1,2,,1,1,1010901,1016200,4032202,1,2,1,2,5,5,5,5,5,5,5,5,4,5,5,7,2,1,6,1,2,3,4.4,4
가족/사회/복지,25,2,180,4,1,2,,2,,2,,2,4,2,2,2,2,,2,1,1010901,,,2,,,,4,4,3,3,4,3,4,4,2,2,4,8,2,4,6,1,2,1,3.6,5
가족/사회/복지,30,2,340,4,4,1,,2,,2,,8,,2,1,2,2,,2,1,3003900,,,2,,,,4,5,3,5,5,5,4,5,3,3,4,6,2,2,6,3,3,3,3.8,5
가족/사회/복지,63,2,30,3,4,1,,2,,2,,1,,2,1,2,2,,2,1,1010901,4127704,,2,,,,4,4,4,4,4,4,4,4,4,4,5,7,2,1,7,1,3,3,4.3,5
가족/사회/복지,22,,,,,,0,2,,2,,7,,2,2,1,2,,1,1,1010901,2068100,,1,2,1,1,3,5,1,4,4,4,5,4,4,5,3,7,1,4,5,3,3,3,3.2,1
가족/사회/복지,24,2,300,3,1,2,,2,,2,,2,4,2,2,1,2,,2,1,4149200,1018700,,2,,,,5,3,1,3,3,5,5,5,5,3,5,7,1,1,6,1,3,3,2,3
가족/사회/복지,22,,,,,,2,2,,2,,1,,2,2,2,2,,1,1,1010901,,,1,2,2,1,4,5,5,5,5,5,5,5,4,5,5,6,2,1,7,1,4,3,4,2
가족/사회/복지,25,2,170,3,3,1,,2,,2,,2,,2,2,2,2,,1,1,4007600,1010901,,2,,,,3,3,3,3,3,3,3,3,3,3,3,6,2,4,4,3,4,3,3,3
가족/사회/복지,59,2,320,4,1,2,,2,,2,,1,,2,2,2,2,,1,1,1010901,1012700,,2,,,,4,5,4,4,4,5,4,4,5,4,4,6,2,3,7,3,4,3,3.8,4
가족/사회/복지,37,,,,,,,2,,2,,1,,2,2,2,2,,1,1,1010300,,,2,,,,4,3,3,3,3,4,4,4,3,4,3,8,2,3,4,3,4,3,2.5,3
가족/사회/복지,64,,,,,,2,2,,2,,3,,2,1,2,2,,2,1,1010901,1012700,1016200,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,8,2,3,6,3,4,3,4.3,4
가족/사회/복지,59,1,50,4,3,1,,2,,2,,1,,2,2,2,2,,2,1,1012700,1000400,1002600,2,,,,3,4,4,3,3,4,3,4,3,3,3,6,2,1,6,3,4,1,3.7,4
가족/사회/복지,23,2,210,4,1,2,,1,보육학과,2,,5,2,2,2,1,2,,1,1,1010300,1010901,4061315,2,,,,5,5,2,5,4,4,4,5,5,5,5,5,2,1,6,3,4,3,4.2,1
가족/사회/복지,36,,,,,,,2,,2,,1,,2,2,2,2,,1,1,1010300,1010901,1000400,1,2,2,2,3,4,3,3,3,4,5,4,2,3,3,7,2,3,5,3,4,3,4.4,4
가족/사회/복지,22,2,200,4,1,2,,2,,2,,1,,2,2,2,2,,2,1,1010901,,,2,,,,4,3,3,3,4,4,3,4,3,3,4,7,2,3,3,1,4,2,4.3,4
가족/사회/복지,39,,,,,,,2,,2,,2,8,2,1,1,2,,2,1,1010901,2043900,,2,,,,4,4,4,4,4,4,4,4,4,2,4,8,1,5,7,1,4,3,4.4,5
가족/사회/복지,26,2,185,4,4,1,,2,,2,,2,6,2,2,2,2,,1,1,5008900,,,2,,,,5,5,4,4,3,4,4,3,3,5,3,7,1,5,7,3,4,3,3.8,5
